FAA|E|||4|03012020|0000000000318||865654
FAA|C|3560070060252|||12|||
FAA|C|3560070935475|||20|||
FAA|C|3560070708031|||10|||
FAA|C|3560070719266|||12|||
FAA|C|3560070955169|||6|||
FAA|C|3560070955138|||6|||
FAA|C|3270190203407|||10|||
FAA|C|3245412161971|||10|||
FAA|C|3560070565313|||8|||
FAA|C|3560070565283|||8|||
FAA|C|3245414221550|||8|||
FAA|C|3663362000728|||8|||
FAA|C|3270190021841|||12|||
FAA|E|||4|03012020|0000000000318||865673
FAA|C|3270190203414|||10|||
FAA|C|3270190021889|||6|||
FAA|C|3560070503797|||12|||
